,names,text
260,,"I will also share with you – I had it in my original text but I took it out because of the length – the experience of Australia and New Zealand. New South Wales in Australia offers a fully government-funded public defender's scheme. Two thirds of its cases are outsourced to private lawyers. Government expenditure on criminal legal aid has seen a 50% increase from 2015 to 2019. Every time I show these figures, my Finance Minister gives me a look."
261,,"Similarly, when we enhanced CLAS in 2014, we were not in a very difficult budgetary position but we were all projecting for a time when we would be in a difficult budgetary position. I did not want to get into a situation where we will just be required to write bigger and bigger cheques without taking into account public interest."
262,,"The reason why any Member here, with a child who is 10 years old, would dare to let their child take public transport is because of our law and order system. That is a very precious privilege. It is a privilege – every lady in this room will be able to take public transport at any time of the day and night. That is a fundamental human right. You will not be able to exercise that in any comparable city, anywhere in the world. "
263,,There is a reason for all of that. That is because cases get dealt with properly. Crime is low. We have kept crime low at a relatively low cost to the taxpayer. But I accept we must also help the poor when it comes to legal aid for criminal cases.
264,,"Let me tell you about the Australian example – the case of Lloyd Raynay. He was an experienced lawyer accused of murdering his wife, received legal aid in 2013. Cost to taxpayers of his defence was around $2.3 million. Do you believe that that person should get legal aid at that cost in Singapore? I do not think you do. So, we should move away from absolutist positions to say, ""How can we make it work?"", because we are both on the same side on this argument."
265,,Paul Cohrs was accused of murdering his mother and brother in 2018. Close to $1.5 million dollars in assets. He was offered legal aid because his assets were frozen. Court cases get delayed – I am talking about Australia now – because lawyers refuse to take on legal aid cases. Legal aid rates were considered inadequate; cases being adjourned. Victims and witnesses are having to endure a long wait for justice and preparation by prosecutors and the police wasted.
266,,"In 2016, court cases against alleged murderers of underworld figures, Barbaro and Yilmaz, were put off for more than one year because legal aid rates were inadequate for suitable lawyers to take on the lengthy and complex case. The government introduced reforms in 2020 to ensure more sustainable legal aid budgets, including changes in fee structures, introduced fixed-sum lump-sum payments for less serious criminal matters. And guess what? The legal industry opposed it."
267,,"New Zealand. Fully government-funded public defender's scheme. The total cost rising by 62% from $101 million in 2006 and 2007 to $164 million in 2018 and 2019. There was an independent review of the system in 2009 led by a senior civil servant. She concluded the system was open to abuse, including lawyers who game the system. I am not suggesting that lawyers will necessarily game the system but you have these experiences elsewhere and you got to be careful about it."
268,,"They delayed plea or changed plea part way through the process, maximised legal aid payments. Lawyers demanded or accepted top-up payments from clients. To curb the bill, they expanded the public defender's scheme but that was also opposed by the bar."
269,,"We, thankfully, have a relationship with a bar which is more constructive. They do pro bono through CLAS but I have said that we are now considering how we can set up a public defender's office which would be sustainable. So, in principle, there is no issue. The question is – how do you implement it."
270,,"Second, I think there was a question of bail. I think Ms Lim wondered if the Bail Court was comatose or still in existence. It is functioning, alive and kicking. It is in the State Courts. Court 4A undertakes the role of the Bail Court. It handles the grant of, or review of, bail. The Court aims to ensure that the bail reviews are dealt with expeditiously, minimise – we are again on the same page – the time spent by accused persons in remand and balance against the need to ensure that the accused persons attend Court or are available when investigations are required."
271,,"Since 2018, increasing number of persons in remand are being released on a reduced bail with e-tagging – because we can use technology. Between January and July, more than 180 accused persons have been released on reduced bail with e-tagging. In 2018, I think some Members will recall that the Criminal Procedure Code or CPC was amended to specifically provide for e-tagging and the Police are generally prepared to consider allowing personal bonds in more cases. So, again, on the bail issue, I do not think there is divergence here."
272,,"Three, on people who cannot afford to pay fines. I think the situation that Ms Lim highlighted was that some people run up a series of regulatory offences and then they find themselves unable to pay and then have to turn up to Court for these matters."
273,,"It is a tough issue when it comes to this because, in principle, you have the laws, you need to enforce them. "
274,,"I think everybody agrees that you need to enforce them. Because if you have laws and you have fines that can be imposed but if people can break the rules – it can be as simple as parking, if people can park without having to pay the fines and fines will not be collected – then, the system will slowly break down. We cannot have that. We have to impose the fines."
275,,"But, then, there are a group of people we all feel sympathetic towards because they cannot pay. The fact that they cannot pay the fines then lead some on to other situations which sort of snowball and we really do not want that. I think that is a situation where other kinds of safety nets will have to come and try and help them. This is where MSF comes in, the local Member of Parliament, or MP, comes in, for situations like that."
276,,"But where the agencies come across this, some agencies may be able to handle it but, generally, the agencies are not best placed to go and make distinctions between people – okay, you can pay the fine, you cannot pay the fine. I think we will very soon have a system that is dysfunctional. I think that sort of intervention has got to be an intervention from outside of the regulatory agency. But, in principle, we agree that there must be ways to try and find these people help."
277,,"Ms Lim also talked about how AGC sometimes – I am sure this is based on what the criminal bar has said because they have said this to me too – that officers sometimes prefer the most serious charge. I would put it this way. I think in the Parliament, when we debate like this, it is going to be general statements. If you say they should not put the most serious charge, of course, I agree. But we also agree that neither the Parliament nor MinLaw should be directing AGC on what charges are appropriate."
278,,"I think the starting point is what the Attorney-General has said at the Opening of Legal Year, which is that the DPPs ought to be told, and have been told, they are ministers of justice. They need to take an overview on this and they need to approach this with fairness. The Attorney-General and the Deputy Attorney-General have regular discussions with the criminal bar. These are issues they can deal with."
279,,"Recording of statements – again, I think the starting point is the same. We must get accurate statements. It must be fair to the person being interviewed. It must be something that the person who is interviewed can understand. I do not think it is going to be possible – the Police are not going to be able to record it in the language the witness speaks. But fairness must be there. So, we need to have the right interpreter and we must emphasise to the IOs that – look, it is not a question of getting down and putting it in the way that you want. It has got to be what the person is saying. This is a constant endeavour."
280,,"I am sure Ms Lim has, I am sure others have – I have – we have all come across situations where lawyers tell us – well, the statement has been taken in a way that is not quite accurate. They say that. I think you have got to discount some of it because it is seen from a defence's perspective. But it has happened too."
281,,"So, this is something, as I said, the golden standard would be if we can have video recording but in my Ministerial Statement, I explained, or in my clarifications, I explained the difficulties that we are having. Not that we do not want to do it. Actually, doing it would help the Police. It is protective of the Police but we cannot do it. We cannot expand it because of the specific resource constraints that I spoke about."
282,,"There was a question on the level of legal training of IOs. The Police officers who take on the IO role do take some legal modules on investigative powers, drafting of charges and statement of facts, to understand the Evidence Act, the burden of proof, presumptions, on general law, on general training for trial preparation. None of that is going to make them a lawyer and, I think, again, the real answer is what one of the Members asked me earlier – how quickly can we put the AGC and Police officers together early in the investigations so that there is that legal guidance?"
283,,"It is a serious resource issue. The size of AGC is small. The size of the Police's IOs is small. To try and put them together to deal with these thousands of cases, is not going to be easy."
284,,"Ms Lim said something which I heartily agree with – that the specific Police IO in Ms Liyani's case does not become a scape-goat. I will start out by saying that we do not scape-goat people, but when I come to the Parliament, I cannot shy away from saying what has happened. I cannot shy away from saying that unfortunately – I did say ""unfortunately"" – he will have to face disciplinary inquiry. In my original statement, I actually said I am personally very sympathetic to the IO."
285,,"The Police were very uncomfortable with that because they take the disciplinary inquiry seriously and their view was that if the Minister says that, then it creates difficulties for them. But I am very sympathetic to the IO because we are all looking at this with hindsight and with a huge microscope, day by day."
286,,"So, I do say, ""Poor chap"". But rules are rules. He was there. He did not do it for five weeks. There are certain consequences. He is in an unfortunate situation. But I entirely agree."
287,,"Ms Lim also asked about instalment payments for fines. I have said it in the House here. I think we should try when people have difficulties in making payments to allow them to pay in instalments. The difficulty again is to distinguish between who can afford and who cannot afford. We do not want to go down the route of setting up another mechanism, more resources to go and check that. But subject to that, I have given directions earlier this year to the Police to consider in which areas we can go, for possibility of instalment payments on fines."
288,,"There were some points about young people, what sort of assistance they get when Police interview them, amongst others. Actually, for those who have not been following closely our criminal justice system and our system of imprisonment or incarceration, there has been a sea change in approach. Today, for example, the Prisons service tags itself as Captains of Lives. They are no longer prison wardens. When the people come in, the statistics show that there is a high likelihood of recidivism when they go out. They are going to come back again. So, our task is to actually be with them and make sure as much as possible that they do not come back. We do a lot of intervention when they are in there."
289,,"We actually want to go earlier, upstream, do not even let them become prisoners, do not even let them get into trouble. What can we do upstream? And we want to look as much as possible, for people who infringe or who have committed some offence. We want to see how we can move them away from the penal system to a more guidance programme for rehabilitation. So, the primary focus, if I can use one word to describe our system today, it is to focus on rehabilitation."
290,,Which is why the very significant changes on first- and second-time drug users were put through legislation. And Parliament agreed with it.
291,,"So, for young people, we have diversionary programmes for those who commit minor offences. In the past four years, four to five hundred guidance programmes cases a year. Completion rate has been about 80% to 90%. We also have a guidance programme for young offenders who commit less serious sexual offences, like possession of obscene films and so on. We give them Adolescence Sexuality Treatment. "
292,,"The Streetwise Programme is a voluntary programme for wayward young people. And we have an enhanced Streetwise Programme. For those involved in minor gang-related offences, they are sent to these programmes."
293,,"Our approach today is first, we try and prevent them from getting into Prison. Second, if they commit some offence, as far as possible, we put them in different tracks. We do psychological assessment. Even if they have to serve time, then, we see whether they have to serve the full time or whether they can be put through different programmes and then, put in halfway houses to the extent possible – of course, depending on the nature of the offence."
294,,"So, that has been the approach and if Members are interested, we can give them a specific, more in-depth briefing. But there has been a very significant change in approach here."
295,,"Ms Lim talked about victims in a couple of specific cases. Ms Lim, Ms He Ting Ru will accept, I do not know the facts, I do not know why specifically the matter was not proceeded with. All I know from what has been said in Parliament is that AGC advised that it cannot be proceeded with. Beyond that, I do not know anything else and I cannot comment on it."
296,,There are always two sides to every story and we will have to ask AGC why it did not proceed.
297,,"Ms He said that defence lawyers face unequal access to witnesses and evidence. Again, in principle, I agree there should be fair access. What is fair, how do you detail what is fair, there might be a difference of views. It was not quite clear to me what exactly she said. But I am setting out a matter of principle here. "
298,,"Access to counsel, I have dealt with earlier. "
299,,"Ms He Ting Ru also talked about compensation for miscarriage of justice. I think in principle, if it is a vexatious case, if it should never have been brought, compensation ought to be paid. But on a regular basis, if every case, the state loses, you have got to pay compensation, then, I think I would take a different approach and a different view. I do think that would create chilling effect on prosecution. But I do not think that is what Ms He was suggesting."
300,,"Mr Dennis Tan expressed his concern about the young and the poor. I say for the record, we are all concerned. Mr Dennis Tan is not the only one who is concerned. I think his concern is legitimate but we are all concerned. "
301,,"He also spoke about judicial training and he spoke about this point about rotation between the different parts of the Legal Service. I have given a very full answer and I have said that these matters are dealt with by various boards headed by the Chief Justice. He decides, together with his board, and there is, I described the Personnel Board for Judges and Personnel Board for Legal Service Officers. "
302,,"Mr Tan also spoke about qualifications of Judicial Officers. These are matters for the Legal Service Commission. They will take into account. I told you about the Judicial Personnel Board. They will deal with it and choose. I think he got some of his facts wrong. The point he made about one year for Magistrates and three years for District Judges, or DJs – that is only possible when the Chief Justice is of the opinion that the person is suitable. Otherwise, the normal process is three years for Magistrates and seven years for District Judges. "
303,,"In the State Courts today, we have 55 Judicial Officers who hear criminal cases. All are qualified persons who are at least seven years. I stand corrected – these are the figures I have been given. If it is inaccurate in any way, I will let Mr Dennis Tan know. "
304,,"And training of Judicial Officers, again, I agree with Mr Tan, and it is already being done, as he will probably know – Singapore Judicial College. And Mr Tan agrees that this is a good development."
305,,"Mr Pritam Singh talks about disclosure, setting up a statutory framework on what needs to be disclosed. I think specific on Kadar vs Public Prosecutor, Mr Singh would recall, that I told this House that it is good in principle, the Kadar case, and should be followed. Maybe Mr Singh does not recall, but that is what I said."
306,,"So, the Government is absolutely ad idem with Mr Singh on this point."
307,,"Looking at setting out the disclosure requirements in statute, I am happy to tell him that, knowing that he is going to raise it today, we have been discussing it since early this year, internally. It has started with MHA; it is being discussed. I think it is unsatisfactory that it is left as a common law principle. So, we are going to put it out in statute – what is appropriate, what is fair, how do you framework it, which are the cases and principles you take. It is being discussed with various stakeholders; we have not discussed with the bar yet. I think we have discussed it with Supreme Court, I cannot remember specifically. "
308,,"It has been something that we have been discussing since early this year. But this small event of COVID-19 has put many of these things out of kilter. So, a little bit more time is being taken."
309,,"Mr Singh also talked about how do counsel discuss relevance and non-relevance. I think all I can say to him is, AGC officers have an over-arching duty as ministers of justice. Mr Singh and I cannot be telling them what to disclose and what not to disclose. But the principles are clear. Again, as I have said, we will put it out in statutory form. So, he is pushing at an open door on this. "
310,,"Ms Lim talked about more means for seeking compensation. I think she knows 2010, we amended the CPC to require the Courts to actively consider. Because we felt that while we had given the Courts the power to order compensation, we did not see enough cases where compensation was being awarded. So, I actually decided that we had to go further. "
311,,"So, in 2018, the law was further amended and now, the Courts are required to give reasons if compensation is not awarded, where it has the power to do so. That requires an active consideration. Victims are there in a criminal case. Rather than requiring the victims to start another proceedings, decide then and there how much money should be paid. But if for some reason, you think that no money ought to be paid, you set out your reasons. "
312,,"So, victims will be able to participate in the process by making submissions. It is really meant for simpler cases. The criminal Courts are not equipped to deal with complex hearings which are dealt with by civil Courts. And we also should be careful about dragging out proceedings because there is a knock-on effect on the Courts’ ability to deal with other cases. "
313,,"The Courts have also been empowered to order compensation to the dependants of a person whose death was caused by an offence. For example, for bereavement and funeral expenses."
314,,"So, those are the points I wanted to cover. There are other points which I am sure some other colleagues will cover. "
315,,"Coming back to Mr Leong Mun Wai and the Committees of Inquiry, he will recall the earlier exchange. He has agreed that there was no issue he could identify and there was no need for a Committee of Inquiry, or a Commission of Inquiry. But now, he has reversed himself and says, I suppose an hour or so in between, has helped him to recall why he wanted it in the first place. "
316,,"Mr Leong, let me put it this way. You are quite wrong in saying this is an internal review by agencies. Let me explain. First, it has gone through a very public process with detailed cross-examination and an examination in the minute, a forensic examination of all the issues. Every possible issue relating to the Police, and AGC, and the evidence has been dealt with in great detail in public, in cross-examination and in submissions. So, what is it that you want from a review that has not been publicly set out? "
317,,"Then, you have a High Court Judge who sets out his judgment and has set out what he said were the issues. So, you have got a judgment from a High Court, setting out, “This is where I felt that Police were lacking and this is where I think the AGC was lacking”. So, we had that process, which is, I think he would accept, an independent process. "
318,,"Next, as regard to AGC, that is going to go for another Disciplinary Tribunal. And the officers will give account of what they did. It will be dealt with by the Disciplinary Tribunal or DT, and if the DT feels that there is a case to answer and it needs to be referred, it goes up to the Court of Three Judges. Or the DT dismisses it – whatever it is, that is another independent inquiry. So, that deals with the AGC part of your requirement for the Commission of Inquiry."
319,,"Then, the Police. Three specific issues were identified: translation and two other issues. I have dealt with them, the three issues. "
320,,"You see, the duties of Members of Parliament, is not to come and repeat whatever is outside but to apply our mind, take whatever feedback there is, crystallise it, apply it to the facts, listen to the arguments on the other side, and then say, “Yes, I see all these; now, I will tell you what it is.”"
321,,"Because if you ask for a Commission of Inquiry, it is because you are not happy with something. You feel that there is a reasonable basis for having an inquiry into something. So, you need to tell us which part of this requires further inquiry."
322,,"I will answer your other points, but perhaps I can invite you to answer that."
323,Mr Leong Mun Wai,Mr Leong Mun Wai: I thank the Minister for giving me the chance to learn further. 
324,,"When we look at this case, basically, it is a case where there are a number of possible systematic faults across this case. For example, from the Police to the AGC – you admitted there were lapses. And the AGC, there is a case that is still in the Courts now. And now, you have also disclosed or have said that the behaviour of some of the plaintiffs is not credible."
325,,"So, there are all these things. If there are so many of these problems, at every stage of the process, there is supposed to be a check on the problem. The way I listened to what you have said, now it seems that the problem is like being drilled down to a poor guy in the Police force. That cannot be the case. If one person makes a mistake, the next stage of the process is supposed to check on that and then stop the mistake from carrying on."
326,,"So, to a layman like me – as I have said, I am not a legal expert – and probably the average Singaporean in society, we will think that, eh, the whole process, why nothing stops this process from carrying on, making the poor Ms Liyani suffer for four years?"
327,Mr K Shanmugam,"Mr K Shanmugam: If I could ask you, Mr Leong, I have heard about the four years. I will come back to the four years. Can you just help me because I have said we are happy to have – not happy – but we are prepared to have a commission of inquiry. I did say the officers involved will face Police disciplinary inquiry. Of course, the supervisor will face the disciplinary inquiry, too, because of the five weeks. So, we have settled the five weeks. So, what is it that requires the commission of inquiry? What is troubling you now? Do not give generalities. What, specifically, is the issue? "
328,Mr Leong Mun Wai,Mr Leong Mun Wai: Okay. We think that the systemic failures that I have—
329,Mr K Shanmugam,Mr K Shanmugam: What is the systemic failure?
330,Mr Leong Mun Wai,"Mr Leong Mun Wai: The systemic failure is like what I have explained just now – why, in the process, was there no stopper? It just goes on and on. So, if this poor policeman makes the wrong investigation—"
331,Mr K Shanmugam,Mr K Shanmugam: What went on and on?
332,Mr Leong Mun Wai,"Mr Leong Mun Wai: Basically, from the Police, it went on to the AGC."
333,Mr K Shanmugam,"Mr K Shanmugam: Wait, stop, please. The five weeks are a Police issue. It did not go on to anyone else. AGC issue, where it happened at trial, will be dealt with by a Disciplinary Tribunal. So, what is it about the Police – beyond the five weeks?"
334,Mr Leong Mun Wai,"Mr Leong Mun Wai: You actually mentioned that there were some lapses in the treatment of the evidence. So, the five weeks. When this five-week thing happened, why did the superior officer in the Police force, for example, not identify the problem? And when this moved to AGC to make the prosecution—"
335,Mr K Shanmugam,"Mr K Shanmugam: So, wait. Let us deal with the five weeks. I have told you that the IO and the supervisor were wrong and will be dealt with by way of a Disciplinary Tribunal. What is that you propose – what is your allegation? Are you suggesting that they did not do it because of improper influence? If so, say it and we will have a commission of inquiry."
336,Mr Leong Mun Wai,Mr Leong Mun Wai: I am not saying that that is definitely the case.
337,Mr K Shanmugam,"Mr K Shanmugam: Okay, then tell me why we need a commission of inquiry."
338,Mr Leong Mun Wai,"Mr Leong Mun Wai: Like what I have said, Minister, if a junior officer had done something, why was it not checked by a senior officer, and then the senior officer—"
339,Mr K Shanmugam,"Mr K Shanmugam: The senior officer is now going to face a Disciplinary Inquiry, too."
340,Mr Leong Mun Wai,"Mr Leong Mun Wai: Okay. Then this senior officer made a mistake, this whole thing goes to AGC."
341,Mr K Shanmugam,"Mr K Shanmugam: So, let us leave the Police alone. That is what the Police did. "
342,Mr Leong Mun Wai,Mr Leong Mun Wai: Yes.
343,Mr K Shanmugam,"Mr K Shanmugam: There was a lapse, unless we are suggesting or we have reason to believe. Let me tell you this."
344,Mr Leong Mun Wai,Mr Leong Mun Wai: Okay.
345,Mr K Shanmugam,Mr K Shanmugam: In any system – and you have been in organisations – there will be lapses. 
346,Mr Leong Mun Wai,Mr Leong Mun Wai: Yes.
347,Mr K Shanmugam,Mr K Shanmugam: Lapses do not equate to Commissions of Inquiry. Lapses equate to disciplinary proceedings. Commission of inquiry is if there is something larger.
348,Mr Leong Mun Wai,Mr Leong Mun Wai: Yes.
349,Mr K Shanmugam,"Mr K Shanmugam: You are not suggesting – it is good that you have disavowed any suggestion of improper influence. I am happy that you have said that. So, once we accept that, then the question is, on these facts—and I have told you 10% of the cases succeed on appeal. I have told you there is another case where there was a break in the chain of custody. We cannot be having Commissions of Inquiry each time the High Court says that the Police have made a mistake. So, the reason why I was prepared to recommend a commission of inquiry was because I felt your suggestion was Mr Liew had improper influence. But now that you have disavowed that—"
350,Mr Leong Mun Wai,"Mr Leong Mun Wai: We are not saying that, yes."
351,Mr K Shanmugam,"Mr K Shanmugam: Yes, thank you. And, therefore, in terms of how the Police handled it, the two officers – maybe more than two, or whether there were other IOs who have dealt with it at different times – that is a matter for the Police. Internal matter. And you would have heard me saying I welcome Ms Sylvia Lim's point. We do not want to make a scapegoat of this young officer. But, you know, rules are rules. He will be dealt with. So, leave aside the Police. There is no basis for a commission of inquiry against the Police."
352,,"For AGC, there is no basis for doing a commission of inquiry because if you accept that the AGC officers' conduct will be dealt with by the Disciplinary Tribunal, they will go into it – why they did it, what they did – you have got your independent inquiry. So, we do not need a commission of inquiry."
353,Mr Leong Mun Wai,"Mr Leong Mun Wai: Okay. Like you said just now, Minister, in an organisation, when we do a cross-department investigation, sometimes, in the organisation when things like, for example, the Operations Department makes a mistake and the Finance Department—"
354,Mr K Shanmugam,"Mr K Shanmugam: This inquiry internally was done by the CID, which is external to the IOs, and the next level of disciplinary proceedings will also be done properly and I did say to Mr Pritam Singh, if he was interested, I will let him know what the results are. But I need to go and check the law as to whether I am entitled to tell him."
355,Mr Leong Mun Wai,Mr Leong Mun Wai: Okay.
356,Mr K Shanmugam,"Mr K Shanmugam: All right. So, I think you will be good enough to agree that if those are the concerns, there is no basis for a commission of inquiry? Thank you."
357,Mr Leong Mun Wai,"Mr Leong Mun Wai: Okay, Minister. We thought that the systemic faults alone are enough to be a basis for the inquiry. But after your explanation, okay, we are prepared to accept that you have done a thorough investigation of the situation already, then we will withdraw our proposal for the inquiry."
358,Mr K Shanmugam,Mr K Shanmugam: Thank you.
359,Mr Leong Mun Wai,"Mr Leong Mun Wai: Thank you, Minister."
360,Mr K Shanmugam,"Mr K Shanmugam: Thank you very much, Mr Leong."
361,Mr Leong Mun Wai,Mr Leong Mun Wai: Thank you.
362,Mr Speaker,Mr Speaker: Leader.
363,Mr K Shanmugam,"Mr K Shanmugam: Okay. Now I am left with nothing else to answer. Thank you, Sir."
364,Mr Speaker,Mr Speaker: Then we do not need the Leader now. [Laughter.] Ms Sylvia Lim.
365,Ms Sylvia Lim,"Ms Sylvia Lim: Thank you, Speaker. I have two clarifications for Minister on what he has just said."
366,,"The first clarification concerns his response to my suggestion on the recording of statements in languages other than English. He mentioned that while he does not think that that can be done, of course, he also said that I think the gold standard was video recording. But I would also like to highlight that, in the UK, actually, they do have provision in their Police and Criminal Evidence Act that when an accused person wants to give a cautioned statement in a language other than English, that the police will record the statement in that language and later on an English translation will be provided. I wanted to highlight that other countries have done it. So, I hope that he will not close his mind to the matter. And if this could be done – that means, recording the text of the statement in a language other than English – I think that would greatly increase reliability. That is the first clarification."
367,,"The second clarification is what he mentioned in response to my point on the victims. The two cases which I have mentioned, of course, I am not expecting the Government to comment on the merits of the cases. My reason for bringing them up is to highlight that no reasons were given to the victims for the decisions made and, more generally, to advocate for greater recognition in the Singapore system of the role of victims as stakeholders. And based on these two cases – and there are many others as well – it is clear that victims do feel disempowered and I think we can do better to recognise their role as stakeholders in the system."
368,Mr K Shanmugam,"Mr K Shanmugam: I do not really have a quarrel with either point. I think the recording of statements other than English, I know that Police have said, and I have a lot of sympathy for them that they have difficulties. We will look at the other countries and their models. But I have expressed the hope we are waiting for artificial intelligence and video-to-text automatically. We have looked at some, but they are not yet mature technologies. "
369,,"On the second point of the role of victims as stakeholders, I think Ms Sylvia Lim would have heard me say, in fact, I have pushed for that. In fact, in 2018, we amended the law so that victims would be given compensation or the Courts would have to explain why they are not being given compensation, if the Courts so choose not to. But we will see where else the right role of victims can be better protected. Thank you."
370,Mr Speaker,Mr Speaker: Ms He Ting Ru.
371,Ms He Ting Ru,Ms He Ting Ru: I thank the Minister for his response. I just have one point of clarification. Is the Minister saying that jurisdiction with more legal aid or a more beefed-up legal aid system will lead to bad outcomes? Are there not ways that we can expand our system or having safeguards to make sure that the abuses that he cited do not happen and that costs do not spiral out of control? Thank you.
372,Mr K Shanmugam,"Mr K Shanmugam: Thanks, Ms He. I was corrected by the Prime Minister that I had mispronounced your name."
373,,"I think the answer to both questions is, no, I am not saying any of those things. Again, I said we are on the same page. I believe like you that the poor should get legal assistance. We are doing it. I have said that I do not find the current system satisfactory and that we have been discussing for some time how we can do it better. I was addressing my remarks to some of the statements that you made but which were a little bit more absolutist – like this is a human right, this is cast in stone, it has to be done – and I pointed out that some of those may lead us into alleyways and byways which others have found themselves in and then we will get stuck in the weeds, and we would not be able to come back. So, we need to avoid those traps, but try and achieve the objective in a way that will make the Finance Minister reasonably comfortable. Thank you."
374,Mr Speaker,Mr Speaker: Mr Christopher de Souza.
375,Mr Christopher de Souza (Holland-Bukit Timah),"Mr Christopher de Souza (Holland-Bukit Timah): Mr Speaker, Sir, I want to speak on this topic based on my personal experience."
376,,"My second posting in the Legal Service was at AGC. This involved significant decisions whether or not to prosecute a person or to charge a person. Let me give you an example. One of the cases I had prosecuted was to do with rioting. The facts of the case were that there appeared to be a riot in a foreign worker dormitory. Five foreign workers were charged for rioting. They were watching a sports match. Things got tense and people started to fight. But I was not sure whether one of them was even part of the fight. As a DPP, I raised the question to my superior that rather than being part of the fight, I thought that the foreign worker in question was trying to break up the fight. I was instructed to interview the foreign worker. I asked to do a site visit where the fight happened, in order to get a sense of the evidence. That was a foreign worker dormitory. In the end, we formed the collective view that, indeed, this man was innocent and had actually tried to break up the fight."
377,,"I went to Court as a DPP to ask for a discharge amounting to an acquittal for the foreign worker. He was set free because of AGC's application for a discharge amounting to an acquittal. That, to me, was my experience of the AGC – the integrity of the AGC. It is so easy to tar an institution, but I feel that, on the whole, AGC is an excellent institution, made up of good officers and I want to stand up and say that today. [Applause.]"
378,,"In the example I gave, the foreign worker did not have a defence counsel. So, the decision-making was all borne on the shoulders of the DPPs in question and the superiors we reported to. "
379,,"One has to appreciate within AGC the intense nature of the work, the huge number of investigation papers, evidence and statements, and on top of that, having to run trials, attend plea of guilt mentions and pre-trial conferences. It is tough work, as Minister Shanmugam said, it is dynamic. There is so many pressures and each decision has sometimes life or liberty of a person in question."
380,,"The second point, Sir, I would like to make is that a lot has been said about the trial Judge who handled the case at first instance in the State Courts. Here, I would also like to speak up for the system and see that there is indeed a lot of pressure on Judges. Many factors weigh in the Judge's mind."
381,,"Firstly, is the person guilty, beyond reasonable doubt? Then, the Judge needs to ask if indeed the person is guilty. What is a fair and just sentence? How does one tamper justice with mercy in a sentence? And in sentencing, there can be so many permutations. Again, I say this in this House with some level of experience – notwithstanding that experience as a very junior judicial officer – my first posting in the Legal Service, before AGC."
382,,"The Judge could be guided by retribution, which is a form of punishment. Or the Judge can be guided by deterrence which is to deter the accused or others from doing the same offence. Or a judge could opt for rehabilitation because he or she sees the sincerity in the offender and feels that he or she should be given a second chance to rehabilitate. Or the Judge can opt for restorative justice – which is my favourite type of justice – where the offender is given a chance to apologise for his or her mistakes and the relationship is restored between the accused and the victim."
383,,"Therefore, in addition to needing to weigh up evidence, that is, whether the person is guilty beyond reasonable doubt or whether he or she should be acquitted, the Judge needs to decide what rationale of sentencing to apply. And so, judging is not easy. It is not easy and we have many excellent State Court Judges."
384,,"We will never be finished trying to improve the system. That is a constant. One listens to the Minister and all the speeches – we are all trying to improve the system, yes. But we have got a good foundation here. And there have been significant policy improvements over the years which I am aware of as counsel in private practice – which I declare to you, Mr Speaker."
385,,"For example, over the years, we have introduced the video recording of statements by an accused. We have expanded the criminal case disclosure regime by having access to more information, the defence would be able to better prepare a more accurate case. We have allowed video recorded statements to be adduced as verbal evidence under certain circumstances to reduce the trauma of vulnerable victims. We have introduced provisions allowing certain vulnerable victims to testify, shielded from the accused. We have introduced provisions to ensure that the victim's identity in an offence under the Children and Young Persons Act is held in strict confidence. And we have introduced more comprehensive offences to tackle the seriousness of child pornography and child abuse content."
386,,"Therefore, we do have a good system, Sir. This particular case has shown that there are still areas for improvement and I am heartened that the agencies will be reflecting on this case. I have every confidence that we can continue working from a good solid base towards a fair justice system for all."
387,,"So, we have a good system, Sir. It may need improving, but it is a good system nonetheless. [Applause.]"
388,Mr Speaker,Mr Speaker: Mr Gerald Giam.
389,Mr Gerald Giam Yean Song (Aljunied),"Mr Gerald Giam Yean Song (Aljunied): Mr Speaker, migrant workers face a unique set of challenges when navigating the justice system due largely to their low socio-economic status in our society. Many of the problems they face will be in addition to those faced by low-income Singaporeans, which my Workers' Party's colleagues in this House have highlighted."
390,,"First, I would like to discuss the challenges faced by migrant workers who are victims of abuse, salary non-payment or other offences."
391,,Migrant workers face steep power imbalances when dealing with employers and Government authorities. They are in a foreign land and may not speak our local languages well. They are far from their families and their friends back home. Some migrant domestic workers do not even have a local support network because they have limited interaction with peers outside of their employers' homes. They are unfamiliar with our local laws and customs and often do not know their rights.
392,,"When faced with a situation where they are mistreated or denied their salaries, they may hesitate to make reports to the authorities. This was the case for Miss Khalifa, a maid from Indonesia who endured six months of horrific abuse at the hands of her employers in 2012. She was sent back to Indonesia just as she was due for a medical check-up and chose not to tell the immigration officers of the abuse as she was happy to finally escape it. It was only when she returned to her village in Indonesia that her family discovered her injuries and made a report."
393,,"Migrant workers in these situations are often caught between a rock and a hard place. If they choose not to report the wrongdoing, it may continue or their perpetrators may get away scot-free. If they choose to report the offence and their case is taken up by the authorities, they will have to remain in Singapore to assist in the investigations and cannot immediately return to their loved ones at home."
394,,"The legal process takes time. For maid abuse cases that go to Court, the investigation alone can take at least a year while the trial could take another year, not to mention appeals. By the time the final sentence is passed, the entire process may have taken two years or more. In the meantime, the worker may not be able to work to earn a living. This can be financially ruinous as they are often the sole breadwinners of a large family back home."
